_widgetName,_source,city,location,time range,date,Lat,Long
DUI Checkpoints,DUI Checkpoints,Sherman Oaks,Ventura Blvd and Columbus Ave,8pm To 2am,Sat Jun 18 2016,34.153454,-118.464002
DUI Checkpoints,DUI Checkpoints,Downey,Firestone Blvd and Old River School Rd,,Fri Jun 17 2016,33.947062,-118.149706
DUI Checkpoints,DUI Checkpoints,Pomona,Philadelphia St and S Reservoir St,,Fri Jun 17 2016,34.033735,-117.731762
DUI Checkpoints,DUI Checkpoints,Norwalk,Alondra Blvd and Studebaker Rd,,Fri Jun 17 2016,33.887467,-118.099988
DUI Checkpoints,DUI Checkpoints,Los Angeles,Sunset Blvd and N Orange Grove Ave - Hollywood,8pm To 2am,Fri Jun 17 2016,34.09807,-118.360366
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Figueroa St and 42nd St,,Sat Jun 11 2016,34.007389,-118.282734
DUI Checkpoints,DUI Checkpoints,San Gabriel,W Valley Blvd and Stevens Ave,,Sat Jun 11 2016,34.079401,-118.106736
DUI Checkpoints,DUI Checkpoints,Los Angeles,Laurel Canyon Blvd and Osborne St,8pm To 2am,Sat Jun 11 2016,34.246858,-118.419516
DUI Checkpoints,DUI Checkpoints,Hawthorne,Crenshaw Blvd and W 131st St,,Fri Jun 10 2016,33.913454,-118.326452
DUI Checkpoints,DUI Checkpoints,Panorama City,Van Nuys Blvd and Roscoe Blvd,,Fri Jun 10 2016,34.221533,-118.448781
DUI Checkpoints,DUI Checkpoints,Claremont,W Arrow Hwy and S Indian Hill Blvd,,Fri Jun 10 2016,34.090478,-117.719338
DUI Checkpoints,DUI Checkpoints,Torrance,Pacific Coast Hwy and Anza Ave,,Fri Jun 10 2016,33.807736,-118.357803
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Western Ave and W 39th St,,Sun Jul 3 2016,34.014613,-118.308899
DUI Checkpoints,DUI Checkpoints,Hawthorne,W Rosecrans Ave and Isis Ave,,Sat Jul 2 2016,33.901921,-118.374367
DUI Checkpoints,DUI Checkpoints,El Monte,Ramona Blvd and Gilman Rd,,Sat Jul 2 2016,34.076571,-118.002483
DUI Checkpoints,DUI Checkpoints,Glendale,San Fernando Rd and S Brand Blvd,,Sat Jul 2 2016,34.124001,-118.255156
